Date,KOSPI,PortA,PortB
2015-12-06,1974.4,1097.67,1044.79
2015-12-07,1963.67,1095.7,1042.72
2015-12-08,1949.04,1095.22,1042.18
2015-12-09,1948.24,1096.11,1043.18
2015-12-10,1952.07,1096.26,1043.36
2015-12-11,1948.62,1091.86,1038.79
2015-12-12,1948.62,1090.84,1037.7
2015-12-13,1948.62,1090.38,1037.21
2015-12-14,1927.82,1085.58,1032.13
2015-12-15,1932.97,1083.43,1029.91
2015-12-16,1969.4,1079.63,1026
2015-12-17,1977.96,1080.18,1026.6
2015-12-18,1975.32,1074.78,1020.46
2015-12-19,1975.32,1072.91,1018.57
2015-12-20,1975.32,1074.54,1020.25
2015-12-21,1981.19,1078.07,1024.2
2015-12-22,1992.56,1077.12,1023.22
2015-12-23,1999.22,1071.52,1016.84
2015-12-24,1990.65,1070.99,1016.29
2015-12-25,1990.65,1073.16,1018.7
2015-12-26,1990.65,1071.18,1016.65
2015-12-27,1990.65,1077.67,1023.65
2015-12-28,1964.06,1077.45,1023.42
2015-12-29,1966.31,1081.26,1027.5
2015-12-30,1961.31,1085.78,1032.33
2015-12-31,1961.31,1082.14,1028.33
2016-01-01,1961.31,1081.85,1028.03
2016-01-02,1961.31,1078.09,1023.75
2016-01-03,1961.31,1079.88,1025.66
